rank,game_id,gamename,brandname,sellday,median,count2_get_score,pov_votes
32,1773,大悪司,ALICESOFT,2001-11-30,85,1750,6
33,16569,ランス・クエスト マグナム,ALICESOFT,2012-02-24,85,1201,2
34,20460,あの晴れわたる空より高く,Chuablesoft,2014-09-26,85,1177,1
35,22060,ランス03 リーザス陥落,ALICESOFT,2015-08-28,85,1002,3
36,29109,ドーナドーナ いっしょにわるいことをしよう,ALICESOFT,2020-11-27,85,881,2
37,10550,ひまわり,ぶらんくのーと,2007-12-31,85,841,1
38,11748,戦女神VERITA,エウシュリー,2010-04-23,85,806,1
39,900,闘神都市II,ALICESOFT,1994-12-10,85,670,2
40,2100,とらいあんぐるハート1・2・3 DVD EDITION,JANIS,2002-06-14,85,404,1
41,20852,VenusBlood -HYPNO-,DualTail(DualMage),2014-11-28,85,279,1
42,4857,同級生2(DOS),elf,1995-01-31,85,184,1
43,19346,いろとりどりのセカイ WORLD'S END COMPLETE,FAVORITE,2013-07-26,85,158,1
44,19099,雷神7パワーアップキット,だいふく船団(May),2012-12-29,85,9,1
45,28137,クロスブリードジョーカー,猿兵団,2019-06-29,85,6,1
46,31475,おとなりの奥様は今日も独り,やさにき,2020-12-06,85,5,1
47,28136,ポーチャメイダー 潰せオークエンパイア! 世界豚人間計画!!,KI-SofTWarE,2019-08-11,85,1,1
48,12942,WHITE ALBUM2 ～introductory chapter～,Leaf,2010-03-26,84,2039,1
49,3704,らくえん ～あいかわらずなぼく。の場合～,TerraLunar,2004-06-25,84,718,2
50,23010,神様のゲーム －監禁された6人の男女－,XUSE,2017-01-27,84,396,8
51,40106,誘惑の温泉旅行 ～理性と背徳の一泊二日～,御木納原商店,2026-01-07,84,3,1
52,21531,イブニクル,ALICESOFT,2015-04-24,83,1052,2
53,15937,ボクの彼女はガテン系/彼女がした事、僕がされた事/巨乳妻完全捕獲計画/ボクの妻がアイツに寝取られました。,elf,2011-12-08,83,568,15
54,16518,VenusBlood -FRONTIER-,DualTail(DualMage),2012-04-27,83,387,3
55,21746,フェアリーテイル・レクイエム,Liar-soft(ビジネスパートナー),2015-07-24,83,332,2
56,3193,沙耶の唄,NitroPlus,2003-12-26,82,4108,2
57,16752,終わる世界とバースデイ,コットンソフト,2012-07-27,82,1302,1
58,24085,ノラと皇女と野良猫ハート2,HARUKAZE,2017-10-27,82,1132,1
59,10035,媚肉の香り ～ネトリネトラレヤリヤラレ～,elf,2008-03-28,82,1002,18
60,466,同級生2(Win),elf,1997-08-29,82,420,1
61,36003,旭光のマリアージュ,ensemble,2024-08-30,82,338,1
62,21930,カスタムメイド3D2,KISS,2015-07-24,82,314,1
63,27398,初めての彼女,Waffle,2019-04-26,82,217,2
64,26529,コイカツ!,ILLUSION(Dreams),2018-04-27,82,165,1
65,19952,うたかたの蕾,VENUS,2013-10-29,82,51,1
66,20602,月に寄りそう乙女の作法2,Navel,2014-12-19,81,1207,1
67,17527,黄雷のガクトゥーン ～What a shining braves～,Liar-soft(ビジネスパートナー),2012-12-21,81,594,2
68,33134,サメと生きる七日間,CUBE,2022-11-25,81,319,1
69,28407,贄の匣庭,Chatte Noire,2024-02-16,81,193,1
70,10205,暁の護衛,しゃんぐりら,2008-03-27,80,2963,1
71,21076,サノバウィッチ,ゆずソフト,2015-02-27,80,2314,2
72,6356,もしも明日が晴れならば,ぱれっと,2006-02-24,80,2060,1
73,16124,大図書館の羊飼い a good librarian like a good shepherd,AUGUST,2013-01-25,80,1741,1
74,13641,リアル妹がいる大泉くんのばあい,ALcotハニカム,2010-05-28,80,1733,1
75,14834,いろとりどりのセカイ,FAVORITE,2011-07-29,80,1681,1
76,9967,超昂閃忍ハルカ,ALICESOFT,2008-02-29,80,1623,2
77,6467,ゴア・スクリーミング・ショウ,BLACK Cyc,2006-01-20,80,1455,1
78,15010,euphoria,CLOCKUP,2011-06-24,80,1321,1
79,26,アトラク＝ナクア,ALICESOFT,1997-12-19,80,1294,1
80,15231,未来ノスタルジア,Purple software,2011-09-02,80,1188,3
81,15929,君と彼女と彼女の恋。,NitroPlus,2013-06-28,80,1116,14
82,12807,俺たちに翼はない AfterStory,Navel,2010-07-30,80,1066,1
83,23563,Re:LieF ～親愛なるあなたへ～,RASK,2016-10-28,80,919,1
84,12923,巨乳ファンタジー,Waffle,2009-10-23,80,873,3
85,14514,最終痴漢電車3,アトリエかぐや,2010-12-17,80,689,4
86,13474,君の名残は静かに揺れて,UNiSONSHIFT:Blossom,2010-05-28,80,644,1
87,24449,ゴールデンアワー,NIKO,2017-07-28,80,493,8
88,7805,妻しぼり,ALICESOFT,2006-08-04,80,482,7
89,491,とらいあんぐるハート2 ～さざなみ女子寮～,JANIS,1999-07-30,80,465,1
90,22341,Maggot baits,CLOCKUP,2015-11-27,80,431,2
91,2541,ONE ～輝く季節へ～ Full Voice Ver.,NEXTON,2003-01-24,80,430,1
92,16883,巨乳ファンタジー2,Waffle,2012-05-25,80,406,2
93,26604,Erewhon,CLOCKUP,2018-07-27,80,388,1
94,2643,SEXFRIEND ～セックスフレンド～,CODEPINK,2003-03-20,80,325,1
95,14003,カスタムメイド3D,KISS,2011-01-28,80,325,1
96,26667,ゾンビのあふれた世界で俺だけが襲われない Vol.3,SEACOXX,2018-04-13,80,305,1
97,20312,愛姉妹IV 悔しくて気持ち良かったなんて言えない,シルキーズ,2014-05-30,80,302,8
98,2960,僕と、僕らの夏 完全版,light,2003-08-08,80,299,1
99,12992,果てしなく青い、この空の下で…。完全版,TOPCAT,2009-10-30,80,277,1
100,452,DESIRE 完全版,C’s ware,1998-06-05,80,273,1
101,7705,MinDeaD BlooD ～支配者の為の狂死曲～ DVD Special Edition,BLACK Cyc,2006-07-21,80,244,1
102,20371,ジンコウガクエン2,ILLUSION(Dreams),2014-06-13,80,188,8
103,2501,ドラゴンナイト4(DOS),elf,1994-02-25,80,184,1
104,17144,狙われた女神天使エンゼルティアー ～守った人間達に裏切られて～,SYRUP -many milk-,2014-01-31,80,182,1
105,3713,同級生(DOS),elf,1992-12-17,80,176,1
106,28072,もっと!孕ませ!炎のおっぱい超エロ♡アプリ学園!,みるくふぁくとりー,2019-11-29,80,165,1
107,14038,MinDeaD BlooD Complete Edition,BLACK Cyc,2010-09-24,80,152,3
108,26624,Love×Holic ～魅惑の乙女と白濁カンケイ～,アトリエかぐや,2018-05-25,80,148,4
109,686,Portrait,TESLA,2000-07-28,80,140,1
110,25891,カスタムオーダーメイド3D2,KISS,2018-02-23,80,131,1
111,35000,ヤリステメスブター ボクだけの謎ルール!女トレーナーに勝つとエッチあたりまえ,にゅう工房,2023-09-01,80,120,1
112,30257,極限痴漢特異点2 痴漢の証明,アストロノーツ・シリウス,2021-02-26,80,118,1
113,14434,それでも妻を愛してる,ルネTeamBitters,2011-03-25,80,112,2
114,39947,誰ソ彼のシェイプシフター,Liar-soft(ビジネスパートナー),2026-03-27,80,100,1
115,21436,ホントノキモチ,人生通行止め,2015-02-20,80,96,1
116,8559,若妻万華鏡 完全版,YELLOW PIG,2007-04-13,80,71,2
117,17831,THE BEAUTIFUL WORLD,TECH GIAN,2011-10-21,80,60,1
118,24915,妻の肉穴にホームステイするマッチョ留学生 ～出張中のその裏で、妻は黒光り棒から溢れるほどの白濁を注がれ、悦びに満ちたアクメ顔を晒していた～,ANIM.teamMM,2017-05-26,80,58,1
119,16150,腐界に眠る王女のアバドーン,サークルさくらぷりん,2014-05-03,80,56,2
120,22923,牝堕ち巨乳妻は俺のモノ ～負け組の俺が勝ち組の友人から美人妻を寝取る話～,Anim,2016-02-26,80,55,7
121,23805,ままはは,boot UP!,2016-09-23,80,54,1
122,29006,光翼戦姫エクスティア3,Lusterise,2020-03-27,80,52,1
123,25460,コトネイロ,人生通行止め,2026-03-13,80,49,10
124,24556,ネノトリ,逆流そふと,2016-09-17,80,48,1
125,26691,ぜんがく! 紗奈アペンド,4H,2018-05-18,80,44,1
126,35655,催眠性指導 -Secret Lesson-,だーくワン!,2024-12-20,80,43,3
127,23696,壁の向こうの妻の嬌声2 ～隣で激しく腰を振る汗だくの妻は、絶頂の果てに白濁汁を注がれ淫らなイキ顔を上司に魅せる～,ANIM.teamMM,2016-08-26,80,42,4
128,28766,VenusBlood FRONTIER International,DualTail(DualMage),2019-12-20,80,41,1
129,37845,夏のサカり,みこにそみ,2025-01-31,80,35,1
130,30844,人妻LovelyMoment,stick,2021-03-31,80,35,9
131,25820,湯けむり人妻慕情旅 ～ゆきずりの関係を結ぶ女たち～,スタジオポーク,2017-09-09,80,29,1
132,25627,親友の母 久美子  ～穴の位置から孕ませ方まで全て彼女が教えてくれた～,α-MODEL,2017-11-25,80,26,1
133,27960,さまぁ☆ソルト,VENUS,2019-05-16,80,25,2
134,24509,ダンジョンタウン ～遺跡の森と夢魔の薬～,サークル冥魅亭,2016-10-29,80,25,1
135,22037,Evening Starter,男爵領,2015-04-16,80,22,1
136,23327,兄嫁京香さんとその母千佳子さん ～美人妻と美熟母といっしょ❤︎～ 兄嫁の母千佳子編,平安亭,2016-09-13,80,20,1
137,25183,魔女と剣と千の月 Crimson Apocalypse,KAI,2017-09-01,80,20,1
138,15250,雷神7,だいふく船団(May),2011-03-26,80,17,1
139,19746,監獄戦艦 PREMIUM BOX,ANIME LiLiTH,2013-10-25,80,15,1
140,39690,School Days REMASTERED,Overflow,2025-12-19,80,11,1
141,25496,禁忌劣情 ～淫らな欲望に魅せられて～,セイバーフィッシュ,2017-06-19,80,5,1
142,36193,FRIENDS,梅麻呂3D,2024-02-25,80,5,1
143,36402,Ntraholic,Ntraholic,2023-01-17,80,4,1
144,14006,のーぶる☆わーくす,ゆずソフト,2010-12-24,79,2125,1
145,12156,暁の護衛 ～罪深き終末論～,しゃんぐりら,2010-04-22,79,2006,2
146,3017,天使のいない12月,Leaf,2003-09-26,79,1719,11
147,15986,レミニセンス,てぃ～ぐる,2013-05-31,79,1258,11
148,20314,PRIMAL×HEARTS,ま～まれぇど,2014-08-29,79,1090,1
149,17905,魔導巧殻 ～闇の月女神は導国で詠う～,エウシュリー,2013-04-26,79,590,4
150,731,ママトト ～a record of war～,ALICESOFT,1999-07-01,79,534,2
151,17911,聖娼女 ～性奴育成学園～,Frill,2013-07-26,79,357,10
152,14862,母娘乱館,ALICESOFT,2012-09-14,79,241,6
153,27663,母爛漫,ALICESOFT,2019-04-26,79,109,3
154,12575,LOVEMILF,Autobahn,2009-04-26,79,100,8
155,26614,親友が気づかぬ内に彼女を寝取るボク,Waffle,2018-06-29,79,70,14
156,26219,僕に抱かれ喘ぐ妻は、他の男に抱かれた話を紡ぐ ～妻の綺麗な肉ビラが他の男のイキリ棒に押し広げられているのを見て、ガチガチにカンカン棒を膨張させる～,ANIM.teamMM,2018-02-23,79,59,2
157,25034,遊郭に売られた俺の彼女,めくじら,2017-02-28,79,56,2
158,28037,家属 ～母と姉妹の嬌声～,BISHOP,2019-09-27,79,56,2
159,2502,DE・JA2,elf,1992-06-25,79,42,1
160,31008,神具姫ヒーローアンチドミー,ダイジョビ研究所,2021-04-03,79,38,1
161,20730,カノジョのお母さんは好きですか? ～クールな人妻社長を籠絡せよ!～,平安亭,2014-08-17,79,38,2
162,20959,LOVEMILF2,Autobahn,2014-08-17,79,38,6
163,17097,爆乳! デカ尻! 海女叔母さん,スタジオポーク,2012-03-02,79,18,1
164,37613,Nightmare×sistersΩ ～終末のレクイエム～,Guilty Nightmare Project,2025-03-28,79,18,1
165,37773,洗脳学園 ～呪人の壺～,U-ROOM,2025-02-17,79,16,1
166,17361,ヤブヌマ2,N.R.D.WORKS,2012-07-15,79,14,1
167,6376,ななついろ★ドロップス,UNiSONSHIFT:Blossom,2006-04-21,78,1019,1
168,19919,レミニセンス Re:Collect,てぃ～ぐる,2014-06-27,78,803,1
169,16281,ウィッチズガーデン,ういんどみるOasis,2012-11-30,78,739,1
170,29724,恋愛×ロワイアル,ASa Project,2020-11-27,78,565,2
171,1648,月陽炎,すたじおみりす,2001-10-19,78,556,1
172,16604,デモニオン ～魔王の地下要塞～,アストロノーツ・シリウス,2012-04-27,78,471,5
173,12480,人間デブリ コンナジブンニダレガシタ?,elf,2010-11-26,78,402,3
174,20396,ヒマワリと恋の記憶,MORE,2014-12-26,78,353,1
175,27073,タマユラミライ,Azurite,2019-05-31,78,350,1
176,17792,SISTERS ～夏の最後の日～ ULTRA EDITION,Jellyfish,2013-02-22,78,329,1
177,24936,カサブランカの蕾,DOLCE,2017-05-26,78,293,2
178,3404,月陽炎 DVD Edition,すたじおみりす,2003-04-25,78,283,1
179,21414,ウルスラグナ ～征戦のデュエリスト～,アストロノーツ・シリウス,2015-04-24,78,282,17
180,4430,僕は天使じゃないよ,130cm,2005-04-28,78,240,1
181,19268,麻呂の患者はガテン系2,elf,2013-08-08,78,179,13
182,7944,彗聖天使プリマヴェールZwei,Escu:de,2007-09-28,78,174,2
183,27542,姉ちゃんのススメ ～お姉ちゃんのイタズラ性生活～,アトリエかぐや,2019-02-28,78,104,1
184,28444,あまえんぼ 〜性を抑え切れない僕と無償の親子〜,ドージンオトメ,2019-09-10,78,83,4
185,24634,エガオノリユウ,人生通行止め,2020-03-13,78,68,1
186,21366,妻の媚肉を弄る父の太い指 ～知らぬ間に父のモノになっていた愛妻は、悦びの喘ぎとともに腰をうねらせていた～,ANIM.teamMM,2015-02-27,78,68,1
187,17744,沈黙の女学園 ～阿鼻叫喚の肉欲の宴は終わりを見せるのか～,Anim,2012-12-28,78,31,1
188,34132,あまえんぼ冬 〜性を抑え切れない僕と無償の母娘達〜,ドージンオトメ,2023-07-14,78,29,1
189,23791,堕ちる人妻 Animation,Black Lilith,2016-07-29,78,27,3
190,24231,W悪魔のHなおもてなしR ～もっとあなたのミルク私達にちょうだい～,セイバーフィッシュ,2016-09-21,78,8,1
191,40470,人間操作アプリで友達のギャル姉を好き放題する話,ギャラクシーゲームズ,2026-04-06,78,1,1
192,13702,霧谷伯爵家の六姉妹,アトリエかぐや,2010-05-28,77,499,2
193,8565,姫騎士アンジェリカ ～あなたって、本当に最低の屑だわ!～,シルキーズ,2007-02-23,77,379,2
194,9494,催眠術2,BLACKRAINBOW,2007-09-28,77,269,3
195,560,Bible Black ～La noche de walpurgis～,Active,2000-07-14,77,260,1
196,28260,真愛の百合は赤く染まる,バグシステム,2019-11-29,77,231,1
197,22698,妻みぐい3,ALICESOFT,2016-01-29,77,186,13
198,24008,VenusBlood -RAGNAROK-,DualTail(DualMage),2016-12-22,77,117,1
199,22458,ボクはともだち。I am not sweetheart.,はとのす式製作所,2015-08-16,77,78,1
200,16905,鬼監督と俺の彼女 ～女優の卵が鬼監督と肉体関係を結んだ理由～,めくじら,2012-07-31,77,66,2
201,31963,トラトリトル! ～メイドさんにいたずらする探索系RPG～,いなずまそふと,2021-11-03,77,21,1
202,31868,妻の母 ～傲慢女社長と同居の日々～,平安亭,2022-01-16,77,18,5
203,13823,隣人観察,U・Me SOFT,2010-05-01,77,18,1
204,32862,昼下がり、欲求不満な人妻たちは… ～牝堕ち・危険日種付け・交尾狂い～,スタジオポーク,2022-07-11,77,12,2
205,27644,一緒にヤろうよ!!,アオクマシー,2018-11-29,77,2,1
206,9406,さくらシュトラッセ,ぱれっと,2008-01-25,76,1197,1
207,17806,ひとつ飛ばし恋愛,ASa Project,2013-04-26,76,921,1
208,323,雫,Leaf,1996-01-26,76,889,1
209,15432,翠の海 -midori no umi-,Cabbit,2011-10-28,76,660,1
210,25868,景の海のアペイリア ～カサブランカの騎士～,シルキーズプラスDOLCE,2017-12-22,76,406,3
211,31629,RE:D Cherish!,CRYSTALiA,2022-02-25,76,305,1
212,12754,リザイン RESIGN,SherbetSoft,2010-07-23,76,181,11
213,13913,SCHOOL DAYS HQ,Overflow,2010-10-08,76,161,6
214,15351,鬼作 アニメーション追加完全版,elf,2011-04-28,76,83,1
215,17017,イントルーダー ～侵入者～,material,2012-06-22,76,45,1
216,29217,高慢妻陥落!! ～イイ女だけどヤな女～,スタジオポーク,2020-02-06,76,33,5
217,31798,夏神家に起きたこと,VENUS,2021-11-07,76,20,1
218,39687,無人島社員旅行記 女たちの生存戦略,やさにき,2025-10-28,76,15,1
219,20989,姫様と警備兵,逆流そふと,2014-08-20,76,12,1
220,4248,School Days,Overflow,2005-04-28,75,1032,2
221,21080,花咲ワークスプリング!,SAGA PLANETS,2015-03-27,75,998,1
222,701,WHITE ALBUM,Leaf,1998-05-01,75,928,1
223,17239,夏空のペルセウス,minori,2012-12-21,75,849,1
224,9308,マブラヴ ALTERED FABLE,âge(age),2007-08-31,75,719,1
225,6083,鎖 -クサリ-,Leaf,2005-09-22,75,702,1
226,7475,SISTERS ～夏の最後の日～,Jellyfish,2011-04-28,75,580,1
227,3804,燐月 -リンゲツ-,Selen,2004-08-06,75,536,2
228,408,DARCROWS ～ダークロウズ～,ALICESOFT,1999-11-18,75,477,4
229,1403,幻燐の姫将軍,エウシュリー,2001-04-27,75,461,1
230,334,臭作,elf,1998-03-27,75,445,3
231,1243,鬼作,elf,2001-03-30,75,362,1
232,15199,雨芳恋歌 センセイ。わたし、もうオトナだよ,キャラメルBOX ミルク味,2011-06-24,75,359,1
233,1622,ジサツのための101の方法,公爵(デューク),2001-10-05,75,352,1
234,15881,対魔忍ユキカゼ,Black Lilith,2011-09-16,75,344,1
235,5133,Princess of Darkness ～緩やかに廃滅する青珊瑚の森～(冥色の隷姫 ～緩やかに廃滅する青珊瑚の森～),エウシュリー,2005-09-16,75,330,1
236,25283,みにくいモジカの子,NitroPlus,2018-07-27,75,320,3
237,23454,少女マイノリティ -慰めの愛-,pure more,2016-07-29,75,287,2
238,23046,僕と恋するポンコツアクマ。すっごいえっち!,スミレ,2016-05-27,75,270,1
239,18021,聖エステラ学院の七人の魔女,アストロノーツ・シリウス,2013-03-29,75,267,1
240,11482,学園催眠隷奴 ～さっきまで、大嫌いだったはずなのに～,シルキーズ,2008-12-19,75,264,4
241,20459,超昂天使エスカレイヤー・リブート,ALICESOFT,2014-07-25,75,262,1
242,8826,監獄戦艦 ～非道の洗脳改造航海～,ANIME LiLiTH,2007-03-23,75,257,2
243,7485,人妻コスプレ喫茶2,アトリエかぐや,2006-04-28,75,256,4
244,2790,催眠学園,BLACKRAINBOW,2003-06-06,75,252,3
245,12735,僕だけの保健室,ALICESOFT,2009-07-24,75,241,3
246,3805,永遠のアセリア ～The Spirit of EternitySword～ EXPANSION,XUSE,2004-08-13,75,232,1
247,18037,麻呂の患者はガテン系,elf,2013-04-25,75,225,20
248,25180,超昂神騎エクシール,ALICESOFT,2017-07-28,75,192,1
249,23664,炎の孕ませおっぱい★エロアプリ学園,SQUEEZ,2016-11-25,75,177,1
250,7941,STARLESS,Empress,2011-05-27,75,174,1
251,14022,監獄戦艦2 ～要塞都市の洗脳改造～,ANIME LiLiTH,2010-07-23,75,171,3
252,10732,新妻イカせてミルク! 団地妻、昼下がりの下半身事情,アトリエかぐや,2008-04-25,75,163,4
253,21326,エロ本を捨ててから兄の様子がおかしい,Lamia,2015-02-27,75,158,3
254,2922,真・兄嫁,Selen,2003-08-08,75,154,1
255,17589,女系家族III ～秘密HIMITSU卑蜜～,シルキーズ,2012-11-22,75,152,6
256,12869,若妻万華鏡 アニメーション追加版+夫の前で●されて… アニメーション追加完全版,elf,2009-08-28,75,147,10
257,4438,ガジェット,BLACKRAINBOW,2005-03-11,75,145,2
258,2789,CANDY TOYS,JANIS,2003-06-06,75,144,1
259,25229,百奇繚乱の館,アストロノーツ・シリウス,2017-07-28,75,143,1
260,22873,ダンジョン オブ レガリアス 背徳の都イシュガリア,アストロノーツ・シリウス,2016-03-25,75,140,1
261,24364,は～とふるママン,ALICESOFT,2017-01-27,75,135,3
262,8173,私は私のまま、誰にでも変われる,匠,2008-02-29,75,133,4
263,13803,学園3 ～華麗なる悦辱～,BISHOP,2010-08-27,75,132,2
264,23710,バカだけどチンチンしゃぶるのだけはじょうずなちーちゃん,ORCSOFT,2016-08-12,75,132,2
265,4138,Yin-Yang! X Change Alternative,CROWD,2004-10-29,75,122,2
266,2662,ふしぎ電車,デジアニメ・コーポレイション,2003-03-28,75,118,1
267,22628,麻呂の患者はガテン系3 完結編,elf,2015-10-15,75,117,5
268,12954,擬態催眠,BLACKRAINBOW,2010-01-29,75,116,3
269,19807,監獄戦艦3 ～熱砂の洗脳航路～,ANIME LiLiTH,2013-12-25,75,106,4
270,32017,保健室のセンセーとゴスロリの校医,Citrus,2022-03-25,75,101,1
271,10396,VenusBlood -CHIMERA-,DualTail(DualMage),2008-10-31,75,100,2
272,29791,Mama×Holic ～魅惑のママと甘々カンケイ～,アトリエかぐや,2020-09-25,75,98,2
273,28635,ままごと ～ママとないしょのエッチしましょ～,アトリエかぐや,2019-11-29,75,95,3
274,21576,ねえちゃん、ごめん出しちゃった! ～おねえちゃんは僕専用～,INTERHEART,2015-04-30,75,91,2
275,3477,愛慾のエプロン,Autobahn,2004-04-29,75,87,1
276,1721,DEEP VOICE,CROSS NET,2001-11-02,75,87,1
277,8461,Swindle,M no VIOLET,2006-12-29,75,87,2
278,15415,他の男の精液で孕むとき ～襖の向こうで弟に精液を注ぎ込まれている妻～,アトリエさくら Team.NTR,2011-07-29,75,83,1
279,21717,恥辱の制服,BISHOP,2015-07-24,75,83,8
280,6354,NOISE -ノイズ-,CARMINE,2005-12-09,75,79,1
281,20723,淫妖蟲 凶 ～凌触病棟退魔録～,TinkerBell,2014-09-26,75,75,1
282,10977,人妻交姦日記,Anim,2008-07-04,75,73,2
283,25690,色情教団,DWARFSOFT,2017-12-01,75,71,3
284,19984,Endless Dungeon,Rosebleu,2014-03-28,75,68,1
285,29387,俺の彼女は他人棒が気になるようです。 ～からかい上手な変態彼女との青春スワッピングは、俺の隠れ性癖を開花し肥大化させました～,ANIM.teamMM,2020-07-31,75,68,1
286,23607,強制AVデビュー 上木愛莉1X歳 ～自慰盗撮から始まった、恥辱と背信の日々～,SLAVEnir,2016-06-24,75,67,1
287,24138,監獄アカデミア,ANIME LiLiTH,2017-09-01,75,67,2
288,17884,昼下がりの団地妻たち ～熟れた匂いとムレた肌～,スタジオポーク,2013-02-11,75,65,10
289,23345,交姦の虜たち…,Waffle,2016-06-24,75,63,3
290,6401,対ノ日 -in the latter half of the 90’s-,inspire,2005-10-28,75,62,2
291,24210,新妻ふわトロ癒やらしエステ ～毎日がHなラッキー×トラブル×ハプニング～,アトリエかぐや,2016-11-25,75,59,3
292,20122,催眠術Re,筆柿そふと,2014-05-30,75,58,2
293,888,わたしのありか。,JANIS,2000-10-27,75,57,1
294,7798,夫の前で犯されて… violated in front of the husband,YELLOW PIG,2006-07-28,75,54,1
295,33836,Bunny's ママ代行サービス,アトリエかぐや,2023-03-31,75,53,2
296,26660,貸し出し妻、真由美の“ネトラセ”報告 敏感妻と不倫出張,アトリエさくら Team.NTR,2018-05-25,75,49,1
297,21104,OH!! マイクロマン ～小さくなって女の子の色んなトコロに入っちゃお!～,MBS Truth,2014-12-26,75,48,2
298,24350,俺のセフレはカレシ持ち学生会長 ～生真面目JKがイキ狂って妊娠するまでの浮気SEX記録～,アトリエさくら Team.NTR,2016-12-30,75,48,6
299,20183,人妻は元魔法少女 ～下級戦闘員だった俺が痴漢を繰り返し寝取り落とす～,魔法使いソフト,2014-02-07,75,45,10
300,21909,美少女を上手に肉便器にする方法 Vol.1,SEACOXX,2015-04-24,75,45,4
301,3729,超光戦隊ジャスティスブレイド ～秘密結社でGo!～,MAIKA,2004-07-09,75,42,1
302,28210,対魔忍ユキカゼ2 Animation,Black Lilith,2019-07-26,75,42,1
303,19714,監獄戦艦2 ～要塞都市の洗脳改造～ 完全版,ANIME LiLiTH,2013-10-25,75,41,2
304,21109,姪のビッチ化が許せない!,Blue Devil,2014-09-26,75,41,6
305,27080,黒獣・改 ～気高き聖女は白濁に染まる～,Liquid,2018-10-26,75,41,2
306,2187,凌辱の連鎖(縛艶の連鎖),BLACK PACKAGE TRY,2002-08-09,75,38,1
307,12011,息子の嫁は親父の女 -女医とナースに仕込む胤-,ALL-TiME,2009-04-10,75,38,2
308,25650,プレイホーム 家族崩壊,ILLUSION(Dreams),2017-10-13,75,37,2
309,27254,妻が隠していたビデオ… ～元カレ寝取らせ観察記～,pin-point,2018-11-02,75,37,3
310,15913,目眩く侮愛の宴,Autobahn,2011-08-14,75,35,1
311,1634,夢幻夜想曲リニューアル,apricot,1998-11-27,75,34,1
312,23066,叔母寝取り ～夫の知らない淫らな関係～,スタジオポーク,2016-04-01,75,33,3
313,19912,俺は君の生理用ナプキンを舐めたい,PLASTIC LABEL,2014-08-17,75,33,1
314,20185,淑母の疼き ～人妻、未亡人の熟れた身体と甘い吐息～,TinkerBell,2014-05-23,75,33,3
315,26804,カノビッチ ～彼女がビッチになった理由～,人生通行止め,2018-08-17,75,31,3
316,22200,色欲の小毬荘 ～人妻・明菜編～,VENUS,2015-06-23,75,31,3
317,29315,クベルの首枷病,やさぐれ喫煙所,2019-06-15,75,30,1
318,27815,貸し出し妻、真由美の“ネトラセ”報告2 敏感妻とひとつの“嘘”,アトリエさくら Team.NTR,2019-05-31,75,28,1
